"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"234","369029","Erie County",56351,217650,-161299,-74.11,0,-100
"235","369055","Monroe County",75991,149730,-73739,-49.25,0,-100
"236","369059","Nassau County",1009906,1146649,-136743,-11.93,1009906,-11.93
"237","369067","Onondaga County",68868,155767,-86899,-55.79,0,-100
"238","369087","Rockland County",177493,184623,-7130,-3.86,177493,-3.86
"239","369103","Suffolk County",215303,265013,-49710,-18.76,215303,-18.76
"240","369999","New York Nonentitlement",2992355,6079281,-3086926,-50.78,3508435,-42.29
"241","370558","Charlotte",653781,466608,187173,40.11,653781,40.11
"242","370828","Durham",268213,162711,105502,64.84,268213,64.84
"243","371188","Greensboro",182949,177096,5853,3.31,182949,3.31
"244","372304","Raleigh",307068,252923,54145,21.41,307068,21.41
"245","373180","Winston-Salem",207782,177368,30414,17.15,207782,17.15
"246","379183","Wake County",131623,137579,-5956,-4.33,0,-100
"247","379999","North Carolina Nonentitlement",3458939,4946338,-1487399,-30.07,3590562,-27.41
"248","389999","North Dakota Nonentitlement",540151,442064,98087,22.19,540151,22.19
"249","390042","Akron",228319,505219,-276900,-54.81,228319,-54.81
"250","390858","Canton",99463,212400,-112937,-53.17,0,-100
"251","391062","Cincinnati",387546,979871,-592325,-60.45,387546,-60.45
"252","391104","Cleveland",545479,1761226,-1215747,-69.03,545479,-69.03
"253","391176","Columbus",676506,580931,95575,16.45,676506,16.45
"254","391362","Dayton",237950,458258,-220308,-48.08,237950,-48.08
"255","392628","Lakewood",45484,164433,-118949,-72.34,0,-100
"256","394998","Springfield",50014,144902,-94888,-65.48,0,-100
"257","395214","Toledo",217038,610458,-393420,-64.45,217038,-64.45
"258","395874","Youngstown",98686,290747,-192061,-66.06,0,-100
"259","399035","Cuyahoga County",153529,303304,-149775,-49.38,153529,-49.38
"260","399049","Franklin County",174398,164136,10262,6.25,174398,6.25
"261","399061","Hamilton County",143270,259255,-115985,-44.74,143270,-44.74
"262","399113","Montgomery County",118666,150844,-32178,-21.33,0,-100
"263","399999","Ohio Nonentitlement",2360625,5763635,-3403010,-59.04,2772937,-51.89
"264","402268","Oklahoma City",523856,388987,134869,34.67,523856,34.67
"265","403036","Tulsa",324035,283807,40228,14.17,324035,14.17
"266","409999","Oklahoma Nonentitlement",1094182,1522558,-428376,-28.14,1094182,-28.14
"267","411098","Portland",1395657,702193,693464,98.76,1395657,98.76
"268","419005","Clackamas County",280689,179957,100732,55.98,280689,55.98
"269","419067","Washington County",210922,164525,46397,28.2,210922,28.2
"270","419999","Oregon Nonentitlement",3658692,1773057,1885635,106.35,3658692,106.35
"271","420096","Allentown",98755,192228,-93473,-48.63,0,-100
"272","422178","Erie",106642,252664,-146022,-57.79,0,-100
"273","422898","Harrisburg",90778,171823,-81045,-47.17,0,-100
"274","423573","Lancaster City",63189,140679,-77490,-55.08,0,-100
"275","425451","Philadelphia",2248177,3514942,-1266765,-36.04,2248177,-36.04
"276","425529","Pittsburgh",277040,1149245,-872205,-75.89,277040,-75.89
"277","425793","Reading",135429,221124,-85695,-38.75,135429,-38.75
"278","426201","Scranton",57384,226593,-169209,-74.68,0,-100
"279","429003","Allegheny County",318912,1129509,-810597,-71.77,318912,-71.77
"280","429007","Beaver County",60251,261824,-201573,-76.99,0,-100
"281","429011","Berks County",92023,184811,-92788,-50.21,0,-100
"282","429017","Bucks County",145534,152886,-7352,-4.81,145534,-4.81
"283","429029","Chester County",232235,204518,27717,13.55,232235,13.55
"284","429045","Delaware County",127716,296842,-169126,-56.98,0,-100
"285","429071","Lancaster County",123063,236616,-113553,-47.99,0,-100
"286","429079","Luzerne County",64109,345620,-281511,-81.45,0,-100
"287","429091","Montgomery County",165544,264975,-99431,-37.52,165544,-37.52
"288","429125","Washington County",77371,285588,-208217,-72.91,0,-100
"289","429129","Westmoreland County",85770,286197,-200427,-70.03,0,-100
"290","429133","York County",97080,178413,-81333,-45.59,0,-100
"291","429999","Pennsylvania Nonentitlement",2071095,5565646,-3494551,-62.79,3215225,-42.23
"292","440210","Pawtucket",62683,162426,-99743,-61.41,0,-100
"293","440222","Providence",187893,440396,-252503,-57.34,187893,-57.34
"294","440306","Woonsocket",41592,104388,-62796,-60.16,0,-100
"295","449999","Rhode Island Nonentitlement",303437,671713,-368276,-54.83,407711,-39.3
"296","459019","Charleston County",88208,142479,-54271,-38.09,0,-100
"297","459045","Greenville County",197122,216312,-19190,-8.87,197122,-8.87
"298","459051","Horry County",202053,203303,-1250,-0.61,202053,-0.61
"299","459999","South Carolina Nonentitlement",2024386,2524729,-500343,-19.82,2112594,-16.32
"300","469999","South Dakota Nonentitlement",471083,574427,-103344,-17.99,471083,-17.99
"301","470336","Chattanooga",123922,148904,-24982,-16.78,0,-100
"302","471242","Memphis",599293,561939,37354,6.65,599293,6.65
"303","471368","Nashville-Davidson",785057,416420,368637,88.53,785057,88.53
"304","479999","Tennessee Nonentitlement",2547580,2932401,-384821,-13.12,2671502,-8.9
"305","480222","Arlington",257405,262287,-4882,-1.86,257405,-1.86
"306","480264","Austin",899114,637196,261918,41.1,899114,41.1
"307","480726","Brownsville",170538,229510,-58972,-25.69,170538,-25.69
"308","481206","Corpus Christi",172516,221468,-48952,-22.1,172516,-22.1
"309","481338","Dallas",1229736,1211466,18270,1.51,1229736,1.51
"310","481680","El Paso",451768,565798,-114030,-20.15,451768,-20.15
"311","481896","Fort Worth",493449,570031,-76582,-13.43,493449,-13.43
"312","481998","Garland",127493,165656,-38163,-23.04,0,-100
"313","482514","Houston",2173115,2012200,160915,8,2173115,8
"314","482628","Irving",184684,185456,-772,-0.42,184684,-0.42
"315","483042","Laredo",249838,311462,-61624,-19.79,249838,-19.79
"316","483288","Lubbock",114613,174195,-59582,-34.2,0,-100
"317","484068","Pasadena",137031,143476,-6445,-4.49,137031,-4.49
"318","484758","San Antonio",1173416,1047124,126292,12.06,1173416,12.06
"319","489029","Bexar County",177587,189629,-12042,-6.35,177587,-6.35
"320","489039","Brazoria County",99085,144977,-45892,-31.65,0,-100
"321","489113","Dallas County",129149,171611,-42462,-24.74,0,-100
"322","489157","Fort Bend County",130080,200060,-69980,-34.98,0,-100
"323","489201","Harris County",737044,1074194,-337150,-31.39,737044,-31.39
"324","489215","Hidalgo County",384010,658339,-274329,-41.67,384010,-41.67
"325","489339","Montgomery County",115364,195580,-80216,-41.01,0,-100
"326","489439","Tarrant County",238585,219630,18955,8.63,238585,8.63
"327","489999","Texas Nonentitlement",5278641,8817205,-3538564,-40.13,5994425,-32.01
"328","491092","Salt Lake City",299557,290179,9378,3.23,299557,3.23
"329","499035","Salt Lake County",233819,207331,26488,12.78,233819,12.78
"330","499999","Utah Nonentitlement",823248,1239222,-415974,-33.57,823248,-33.57
"331","509999","Vermont Nonentitlement",507245,636450,-129205,-20.3,507245,-20.3
"332","511116","Norfolk",212873,348293,-135420,-38.88,212873,-38.88
"333","511308","Richmond",220729,375498,-154769,-41.22,220729,-41.22
"334","511320","Roanoke",92457,138286,-45829,-33.14,0,-100
"335","511590","Virginia Beach",155413,156528,-1115,-0.71,155413,-0.71
"336","519059","Fairfax County",618307,438751,179556,40.92,618307,40.92
"337","519087","Henrico County",110290,141855,-31565,-22.25,0,-100
"338","519153","Prince William County",236543,191206,45337,23.71,236543,23.71
"339","519999","Virginia Nonentitlement",1957149,2754274,-797125,-28.94,2159896,-21.58
"340","531392","Seattle",2263793,819850,1443943,176.12,2263793,176.12
"341","531488","Spokane",251774,269876,-18102,-6.71,251774,-6.71
"342","531554","Tacoma",238426,201163,37263,18.52,238426,18.52
"343","539033","King County",1049760,314480,735280,233.81,1049760,233.81
"344","539053","Pierce County",257444,225317,32127,14.26,257444,14.26
"345","539061","Snohomish County",325952,237184,88768,37.43,325952,37.43
"346","539999","Washington Nonentitlement",3766540,2500872,1265668,50.61,3766540,50.61
"347","540666","Huntington",58488,138369,-79881,-57.73,0,-100
"348","549999","West Virginia Nonentitlement",770008,1541846,-771838,-50.06,828497,-46.27
"349","553944","Madison",215537,149702,65835,43.98,215537,43.98
"350","554340","Milwaukee",653110,1333236,-680126,-51.01,653110,-51.01
"351","555424","Racine",56367,156205,-99838,-63.91,0,-100
"352","559999","Wisconsin Nonentitlement",1980926,3446076,-1465150,-42.52,2037293,-40.88
"353","569999","Wyoming Nonentitlement",354838,311565,43273,13.89,354838,13.89
"354","729021","Bayamon Municipio",195340,213845,-18505,-8.65,195340,-8.65
"355","729025","Caguas Municipio",132786,150294,-17508,-11.65,0,-100
"356","729031","Carolina Municipio",155088,177616,-22528,-12.68,155088,-12.68
"357","729113","Ponce Municipio",230838,233512,-2674,-1.15,230838,-1.15
"358","729127","San Juan Municipio",728493,565552,162941,28.81,728493,28.81
"359","729999","Puerto Rico Nonentitlement",2672465,3838845,-1166380,-30.38,2805252,-26.92
"360","600001","American Samoas",NA,79315,NA,NA,NA,NA
"361","660001","Guam",NA,234233,NA,NA,NA,NA
"362","690001","Northern Mariana Islands",NA,74900,NA,NA,NA,NA
"363","780001","Virgin Islands",NA,151552,NA,NA,NA,NA
