Geo Code,State,NAME,PRN2010
069111,CA,VENTURA COUNTY,"686,414"
069113,CA,Yolo County,"131,454"
069115,CA,Yuba County,"131,769"
080054,CO,ARVADA,"64,899"
080072,CO,AURORA,"844,441"
080144,CO,BOULDER,"118,781"
080180,CO,BROOMFIELD CITY/COU,"28,410"
080238,CO,CENTENNIAL,"38,623"
080288,CO,COLORADO SPRINGS,"868,595"
080390,CO,DENVER,"3,060,647"
080552,CO,FORT COLLINS,"129,343"
080672,CO,GRAND JUNCTION,"43,782"
080690,CO,GREELEY,"110,875"
080906,CO,LAKEWOOD,"115,704"
080978,CO,LONGMONT,"68,966"
080990,CO,LOVELAND,"38,596"
081278,CO,PUEBLO,"212,042"
081614,CO,WESTMINSTER,"71,106"
089001,CO,ADAMS COUNTY,"698,274"
089003,CO,Alamosa County,"24,434"
089005,CO,ARAPAHOE COUNTY,"129,900"
089007,CO,Archuleta County,"10,899"
089009,CO,Baca County,"7,176"
089011,CO,Bent County,"10,634"
089013,CO,Boulder County,"64,060"
089015,CO,Chaffee County,"22,313"
089017,CO,Cheyenne County,"3,197"
089019,CO,Clear Creek County,"12,626"
089021,CO,Conejos County,"15,142"
089023,CO,Costilla County,"7,600"
089025,CO,Crowley County,"7,601"
089027,CO,Custer County,"5,845"
089029,CO,Delta County,"35,236"
089033,CO,Dolores County,"2,146"
089035,CO,DOUGLAS COUNTY,"103,787"
089037,CO,Eagle County,"45,794"
089039,CO,Elbert County,"11,624"
089041,CO,EL PASO COUNTY,"122,174"
089043,CO,Fremont County,"46,317"
089045,CO,Garfield County,"44,761"
089047,CO,Gilpin County,"6,089"
089049,CO,Grand County,"10,905"
089051,CO,Gunnison County,"16,447"
089053,CO,Hinsdale County,879
089055,CO,Huerfano County,"16,022"
089057,CO,Jackson County,"3,234"
089059,CO,JEFFERSON COUNTY,"139,301"
089061,CO,Kiowa County,"2,413"
089063,CO,Kit Carson County,"11,173"
089065,CO,Lake County,"14,988"
089067,CO,La Plata County,"44,551"
089069,CO,Larimer County,"54,225"
089071,CO,Las Animas County,"34,420"
089073,CO,Lincoln County,"8,160"
089075,CO,Logan County,"29,156"
089077,CO,Mesa County,"68,628"
089079,CO,Mineral County,"2,055"
089081,CO,Moffat County,"12,036"
089083,CO,Montezuma County,"31,916"
089085,CO,Montrose County,"38,915"
089087,CO,Morgan County,"36,953"
089089,CO,Otero County,"38,957"
089091,CO,Ouray County,"4,906"
089093,CO,Park County,"10,651"
089095,CO,Phillips County,"7,899"
089097,CO,Pitkin County,"12,493"
089099,CO,Prowers County,"23,352"
089101,CO,Pueblo County,"32,246"
089103,CO,Rio Blanco County,"5,271"
089105,CO,Rio Grande County,"18,388"
089107,CO,Routt County,"15,516"
089109,CO,Saguache County,"11,233"
089111,CO,San Juan County,"2,828"
089113,CO,San Miguel County,"8,036"
089115,CO,Sedgwick County,"5,924"
089117,CO,Summit County,"23,821"
089119,CO,Teller County,"15,491"
089121,CO,Washington County,"8,727"
089123,CO,Weld County,"120,246"
089125,CO,Yuma County,"16,609"
090102,CT,BRIDGEPORT,"1,134,259"
090114,CT,BRISTOL,"79,167"
090258,CT,DANBURY,"79,722"
090336,CT,EAST HARTFORD,"82,918"
090390,CT,FAIRFIELD,"70,230"
090438,CT,GREENWICH,"120,509"
090480,CT,HAMDEN TOWN,"68,676"
090492,CT,HARTFORD,"1,310,645"
090594,CT,MANCHESTER,"84,728"
090612,CT,MERIDEN,"117,234"
090630,CT,MIDDLETOWN,"52,963"
090636,CT,MILFORD TOWN,"67,433"
090696,CT,NEW BRITAIN,"645,368"
090726,CT,NEW HAVEN,"1,263,550"
090738,CT,NEW LONDON,"113,706"
090810,CT,NORWALK,"123,314"
090816,CT,NORWICH,"127,755"
091074,CT,STAMFORD,"148,008"
091104,CT,STRATFORD,"88,272"
091194,CT,WATERBURY,"779,523"
