KEY,CNSRTKEY,NAME,STA,CDBG19,HOME19,ESG19,HOPWA19,HTF19
189999,,Indiana Nonentitlement,IN,30644288,"$13,270,759",3767263,"$1,412,803","$3,625,159"
190138,,Ames,IA,581207,"$481,968",0,$0,$0
190798,,Cedar Falls,IA,253085,$0,0,$0,$0
190804,,Cedar Rapids,IA,1060439,"$329,859",0,$0,$0
191134,,Council Bluffs,IA,967313,$0,0,$0,$0
191254,,Davenport,IA,1482327,"$432,858",0,$0,$0
191362,,Des Moines,IA,3657970,"$958,732",313288,$0,$0
191464,,Dubuque,IA,1080989,$0,0,$0,$0
192466,,Iowa City,IA,658740,"$482,816",0,$0,$0
194812,19C2M8,Sioux City,IA,1661162,"$428,541",140869,$0,$0
195394,19C701,Waterloo,IA,1236955,"$427,619",0,$0,$0
195508,,West Des Moines,IA,307130,$0,0,$0,$0
199999,,Iowa Nonentitlement,IA,23967198,"$7,088,101",2655662,"$634,838","$3,000,000"
201776,,Kansas City,KS,2257084,"$813,505",189822,$0,$0
201902,,Lawrence,KS,721890,"$401,987",0,$0,$0
201908,,Leavenworth,KS,319799,$0,0,$0,$0
201944,,Lenexa,KS,218711,$0,0,$0,$0
202190,,Manhattan City,KS,556213,$0,0,$0,$0
202688,,Overland Park,KS,730536,$0,0,$0,$0
203216,,Shawnee,KS,279377,$0,0,$0,$0
203408,,Topeka,KS,1846476,"$552,627",155147,$0,$0
203696,,Wichita,KS,2806594,"$1,387,325",238128,$0,$0
209091,20C307,Johnson County,KS,1042549,"$911,828",0,$0,$0
209999,,Kansas Nonentitlement,KS,14885822,"$5,802,824",1607182,"$572,576","$3,000,000"
210048,,Ashland,KY,561481,$0,0,$0,$0
210210,,Bowling Green,KY,661274,$0,0,$0,$0
210534,21C980,Covington,KY,1460136,"$521,288",0,$0,$0
210696,,Elizabethtown,KY,191475,$0,0,$0,$0
211032,,Henderson,KY,248554,$0,0,$0,$0
211086,,Hopkinsville,KY,262596,$0,0,$0,$0
211314,,Lexington-Fayette,KY,2346550,"$1,228,568",195464,$0,$0
211374,,Louisville,KY,11190723,"$2,932,633",950821,"$856,081",$0
211680,,Owensboro,KY,494814,"$255,616",0,$0,$0
219999,,Kentucky Nonentitlement,KY,25412718,"$12,618,284",2454966,"$791,609","$3,000,000"
220030,,Alexandria,LA,422519,"$213,841",0,$0,$0
220126,,Baton Rouge,LA,3154737,"$1,303,449",266896,"$2,565,701",$0
220192,,Bossier City,LA,496775,$0,0,$0,$0
220828,,Houma-Terrebonne,LA,961846,"$279,367",0,$0,$0
