Geo_Code,STA,NAME,2014 PPRN
063108,CA,Roseville,"$131,660"
063144,CA,Sacramento,"$2,883,956"
063162,CA,Salinas,"$1,308,120"
063180,CA,San Bernardino,"$1,958,015"
063198,CA,San Clemente,"$81,178"
063210,CA,San Diego,"$7,452,860"
063228,CA,San Francisco,"$11,283,518"
063258,CA,San Jose,"$5,459,444"
063276,CA,San Leandro,"$142,434"
063294,CA,San Marcos City,"$154,148"
063312,CA,San Mateo,"$164,834"
063342,CA,Santa Ana,"$3,955,503"
063348,CA,Santa Barbara,"$201,247"
063354,CA,Santa Clara,"$200,703"
063356,CA,Santa Clarita,"$275,285"
063360,CA,Santa Cruz,"$125,724"
063372,CA,Santa Maria,"$298,156"
063384,CA,Santa Monica,"$255,803"
063396,CA,Santa Rosa,"$309,680"
063408,CA,Santee,"$68,567"
063444,CA,Seaside,"$87,453"
063480,CA,Simi Valley,"$138,806"
063528,CA,South Gate,"$1,100,839"
063564,CA,South San Francisco,"$103,729"
063624,CA,Stockton,"$2,160,818"
063660,CA,Sunnyvale,"$253,139"
063712,CA,Temecula,"$120,796"
063732,CA,Thousand Oaks,"$144,265"
063744,CA,Torrance,"$197,337"
063768,CA,Tulare,"$159,845"
063798,CA,Turlock,"$122,785"
063804,CA,Tustin,"$149,174"
063846,CA,Union City,"$109,462"
063852,CA,Upland,"$136,300"
063858,CA,Vacaville,"$104,788"
063876,CA,Vallejo,"$230,434"
063888,CA,San Buenaventura,"$187,294"
063900,CA,Victorville,"$235,570"
063918,CA,Visalia,"$256,735"
063924,CA,Vista,"$230,780"
063942,CA,Walnut Creek,"$58,528"
063966,CA,Watsonville,"$187,295"
064002,CA,West Covina,"$224,519"
064014,CA,Westminster,"$218,049"
064074,CA,Whittier,"$160,492"
064134,CA,Woodland,"$103,527"
064158,CA,Yorba Linda,"$49,768"
064176,CA,Yuba City,"$125,917"
069001,CA,Alameda County,"$1,041,725"
069003,CA,Alpine County,"$3,626"
069005,CA,Amador County,"$98,189"
069007,CA,Butte County,"$268,000"
069009,CA,Calaveras County,"$92,591"
069011,CA,Colusa County,"$72,167"
069013,CA,Contra Costa County,"$1,921,399"
069015,CA,Del Norte County,"$69,037"
069017,CA,El Dorado County,"$288,228"
