Geo Code,City,State,FY 2016 PPRN
063528,South Gate,CA,"$1,041,582"
063564,South San Francisco,CA,"$110,979"
063624,Stockton,CA,"$2,345,243"
063660,Sunnyvale,CA,"$264,049"
063712,Temecula,CA,"$144,164"
063732,Thousand Oaks,CA,"$153,184"
063744,Torrance,CA,"$229,731"
063768,Tulare,CA,"$166,030"
063798,Turlock,CA,"$146,262"
063804,Tustin,CA,"$189,851"
063846,Union City,CA,"$120,940"
063852,Upland,CA,"$138,158"
063858,Vacaville,CA,"$115,027"
063876,Vallejo,CA,"$252,669"
063888,San Buenaventura,CA,"$188,085"
063900,Victorville,CA,"$289,961"
063918,Visalia,CA,"$295,725"
063924,Vista,CA,"$208,345"
063942,Walnut Creek,CA,"$63,873"
063966,Watsonville,CA,"$190,582"
064002,West Covina,CA,"$202,934"
064014,Westminster,CA,"$254,269"
064074,Whittier,CA,"$180,934"
064134,Woodland,CA,"$112,551"
064158,Yorba Linda,CA,"$50,234"
064176,Yuba City,CA,"$151,121"
069001,Alameda County,CA,"$1,169,482"
069003,Alpine County,CA,"$5,298"
069005,Amador County,CA,"$122,738"
069007,Butte County,CA,"$321,995"
069009,Calaveras County,CA,"$100,516"
069011,Colusa County,CA,"$68,975"
069013,Contra Costa County,CA,"$2,172,157"
069015,Del Norte County,CA,"$77,981"
069017,El Dorado County,CA,"$302,760"
069019,Fresno County,CA,"$2,271,868"
069021,Glenn County,CA,"$95,934"
069023,Humboldt County,CA,"$541,466"
069025,Imperial County,CA,"$421,066"
069027,Inyo County,CA,"$53,571"
069029,Kern County,CA,"$2,970,457"
069031,Kings County,CA,"$284,954"
069033,Lake County,CA,"$202,697"
069035,Lassen County,CA,"$105,444"
069037,Los Angeles County,CA,"$14,945,621"
069039,Madera County,CA,"$234,837"
069041,Marin County,CA,"$345,744"
069043,Mariposa County,CA,"$56,580"
069045,Mendocino County,CA,"$317,439"
069047,Merced County,CA,"$612,879"
069049,Modoc County,CA,"$59,789"
069051,Mono County,CA,"$44,154"
069053,Monterey County,CA,"$239,274"
069055,Napa County,CA,"$152,646"
069057,Nevada County,CA,"$263,106"
069059,Orange County,CA,"$1,718,495"
069061,Placer County,CA,"$321,290"
069063,Plumas County,CA,"$94,483"
069065,Riverside County,CA,"$5,228,306"
069067,Sacramento County,CA,"$3,675,980"
069069,San Benito County,CA,"$142,635"
069071,San Bernardino County,CA,"$4,708,383"
069073,San Diego County,CA,"$2,632,255"
069077,San Joaquin County,CA,"$1,776,119"
069079,San Luis Obispo County,CA,"$1,192,328"
069081,San Mateo County,CA,"$1,718,882"
069083,Santa Barbara County,CA,"$1,148,288"
069085,Santa Clara County,CA,"$1,036,249"
069087,Santa Cruz County,CA,"$424,726"
069089,Shasta County,CA,"$216,514"
069091,Sierra County,CA,"$24,946"
069093,Siskiyou County,CA,"$213,797"
069095,Solano County,CA,"$211,203"
069097,Sonoma County,CA,"$1,193,127"
069099,Stanislaus County,CA,"$1,592,914"
069101,Sutter County,CA,"$84,409"
069103,Tehama County,CA,"$183,684"
069105,Trinity County,CA,"$48,273"
069107,Tulare County,CA,"$954,263"
069109,Tuolumne County,CA,"$149,890"
069111,Ventura County,CA,"$1,079,178"
069113,Yolo County,CA,"$213,861"
069115,Yuba County,CA,"$236,184"
080054,Arvada,CO,"$114,193"
080072,Aurora,CO,"$1,926,389"
080144,Boulder,CO,"$188,137"
080180,Broomfield City/County,CO,"$59,440"
080238,Centennial,CO,"$83,484"
080288,Colorado Springs,CO,"$1,899,207"
080390,Denver,CO,"$4,847,063"
080552,Fort Collins,CO,"$253,891"
080672,Grand Junction,CO,"$100,017"
080690,Greeley,CO,"$230,957"
080906,Lakewood,CO,"$234,982"
080978,Longmont,CO,"$156,871"
080990,Loveland,CO,"$86,056"
081278,Pueblo,CO,"$355,174"
081524,Thornton,CO,"$165,666"
081614,Westminster,CO,"$154,306"
089001,Adams County,CO,"$1,178,292"
089003,Alamosa County,CO,"$34,250"
089005,Arapahoe County,CO,"$286,935"
089007,Archuleta County,CO,"$15,381"
089009,Baca County,CO,"$9,690"
089011,Bent County,CO,"$15,495"
089013,Boulder County,CO,"$110,903"
089015,Chaffee County,CO,"$32,268"
089017,Cheyenne County,CO,"$5,206"
089019,Clear Creek County,CO,"$22,802"
089021,Conejos County,CO,"$20,797"
089023,Costilla County,CO,"$12,655"
089025,Crowley County,CO,"$14,498"
089027,Custer County,CO,"$8,112"
089029,Delta County,CO,"$65,589"
089033,Dolores County,CO,"$4,066"
089035,Douglas County,CO,"$237,341"
089037,Eagle County,CO,"$86,440"
089039,Elbert County,CO,"$24,381"
089041,El Paso County,CO,"$256,259"
089043,Fremont County,CO,"$82,059"
089045,Garfield County,CO,"$101,596"
089047,Gilpin County,CO,"$9,961"
089049,Grand County,CO,"$24,188"
089051,Gunnison County,CO,"$30,041"
089053,Hinsdale County,CO,"$3,308"
089055,Huerfano County,CO,"$25,456"
089057,Jackson County,CO,"$4,486"
089059,Jefferson County,CO,"$252,537"
089061,Kiowa County,CO,"$4,176"
089063,Kit Carson County,CO,"$15,418"
089065,Lake County,CO,"$26,491"
089067,La Plata County,CO,"$74,054"
089069,Larimer County,CO,"$117,167"
089071,Las Animas County,CO,"$56,775"
089073,Lincoln County,CO,"$10,996"
089075,Logan County,CO,"$47,807"
089077,Mesa County,CO,"$142,299"
089079,Mineral County,CO,"$3,148"
089081,Moffat County,CO,"$19,620"
089083,Montezuma County,CO,"$60,449"
089085,Montrose County,CO,"$71,154"
089087,Morgan County,CO,"$68,014"
089089,Otero County,CO,"$59,155"
089091,Ouray County,CO,"$8,365"
089093,Park County,CO,"$20,566"
089095,Phillips County,CO,"$13,389"
089097,Pitkin County,CO,"$28,234"
089099,Prowers County,CO,"$37,051"
089101,Pueblo County,CO,"$60,400"
089103,Rio Blanco County,CO,"$12,017"
089105,Rio Grande County,CO,"$30,637"
089107,Routt County,CO,"$27,945"
089109,Saguache County,CO,"$18,162"
089111,San Juan County,CO,"$5,260"
089113,San Miguel County,CO,"$12,301"
089115,Sedgwick County,CO,"$10,188"
089117,Summit County,CO,"$45,506"
089119,Teller County,CO,"$26,184"
089121,Washington County,CO,"$15,030"
089123,Weld County,CO,"$227,725"
089125,Yuma County,CO,"$25,599"
090102,Bridgeport,CT,"$2,001,431"
090114,Bristol,CT,"$147,123"
090258,Danbury,CT,"$159,157"
090336,East Hartford,CT,"$139,118"
090390,Fairfield,CT,"$122,797"
090438,Greenwich,CT,"$196,548"
090480,Hamden Town,CT,"$105,078"
090492,Hartford,CT,"$2,358,185"
090594,Manchester,CT,"$144,743"
090612,Meriden,CT,"$227,193"
090630,Middletown,CT,"$108,307"
090636,Milford Town,CT,"$115,822"
090696,New Britain,CT,"$1,057,801"
090726,New Haven,CT,"$2,527,324"
090738,New London,CT,"$189,090"
090810,Norwalk,CT,"$232,256"
090816,Norwich,CT,"$212,689"
091074,Stamford,CT,"$230,710"
091104,Stratford,CT,"$147,801"
091194,Waterbury,CT,"$1,368,909"
091230,West Hartford,CT,"$225,997"
091236,West Haven,CT,"$167,676"
099001,Fairfield County,CT,"$360,668"
099003,Hartford County,CT,"$638,283"
099005,Litchfield County,CT,"$405,542"
099007,Middlesex County,CT,"$188,333"
099009,New Haven County,CT,"$692,084"
099011,New London County,CT,"$338,463"
099013,Tolland County,CT,"$257,474"
099015,Windham County,CT,"$318,462"
100090,Dover,DE,"$58,901"
100336,Wilmington,DE,"$1,505,448"
109001,Kent County,DE,"$184,815"
109003,New Castle County,DE,"$1,575,402"
109005,Sussex County,DE,"$328,402"
110006,District Of Columbia,DC,"$9,955,694"
120234,Boca Raton,FL,"$115,042"
120264,Boynton Beach,FL,"$126,149"
120270,Bradenton,FL,"$102,570"
120402,Cape Coral,FL,"$244,832"
120492,Clearwater,FL,"$181,803"
120516,Cocoa,FL,"$48,294"
120534,Coconut Creek,FL,"$69,254"
120588,Coral Springs,FL,"$166,466"
120684,Davie,FL,"$146,360"
120690,Daytona Beach,FL,"$154,063"
120708,Deerfield Beach,FL,"$153,910"
120732,Delray Beach,FL,"$108,913"
120738,Deltona,FL,"$119,989"
120954,Ft Lauderdale,FL,"$1,043,671"
120966,Ft Myers,FL,"$163,546"
120996,Fort Pierce,FL,"$126,533"
121008,Fort Walton Beach,FL,"$31,898"
121038,Gainesville,FL,"$328,858"
121236,Hialeah,FL,"$1,538,207"
121320,Hollywood,FL,"$278,196"
121344,Homestead City,FL,"$210,561"
121512,Jupiter,FL,"$70,542"
121572,Kissimmee,FL,"$140,455"
121662,Lakeland,FL,"$221,742"
121710,Largo,FL,"$115,750"
121728,Lauderhill,FL,"$184,620"
121874,Marco Island City,FL,"$20,030"
121878,Margate,FL,"$88,223"
121926,Melbourne,FL,"$119,751"
121968,Miami,FL,"$3,456,383"
121974,Miami Beach,FL,"$656,365"
121976,Miami Gardens City,FL,"$267,036"
122022,Miramar,FL,"$185,425"
122064,Naples,FL,"$21,423"
122142,North Miami,FL,"$199,323"
122214,Ocala,FL,"$117,936"
122292,Orlando,FL,"$1,337,151"
122358,Palm Bay,FL,"$175,894"
122370,Palm Beach Gardens,FL,"$47,432"
122374,Palm Coast,FL,"$117,148"
122406,Panama City,FL,"$83,521"
122448,Pembroke Pines,FL,"$196,951"
122466,Pensacola,FL,"$183,826"
122514,Plantation,FL,"$114,903"
122538,Pompano Beach,FL,"$237,395"
122568,Port Orange,FL,"$68,881"
122586,Port St Lucie,FL,"$259,868"
122598,Punta Gorda,FL,"$18,683"
122724,St Petersburg,FL,"$1,149,613"
122754,Sanford,FL,"$107,230"
122766,Sarasota,FL,"$107,049"
122808,Sebastian City,FL,"$26,424"
122958,Sunrise,FL,"$133,856"
123000,Tallahassee,FL,"$1,284,907"
123006,Tamarac,FL,"$95,689"
123012,Tampa,FL,"$2,007,293"
123048,Titusville,FL,"$66,246"
123213,Wellington,FL,"$67,155"
123249,Weston City,FL,"$69,568"
123252,West Palm Beach,FL,"$212,628"
123342,Winter Haven,FL,"$79,536"
129001,Alachua County,FL,"$233,231"
129003,Baker County,FL,"$56,317"
129005,Bay County,FL,"$211,469"
129007,Bradford County,FL,"$70,667"
129009,Brevard County,FL,"$320,793"
129011,Broward County,FL,"$1,671,408"
129013,Calhoun County,FL,"$39,165"
129015,Charlotte County,FL,"$216,940"
129017,Citrus County,FL,"$256,285"
129019,Clay County,FL,"$255,334"
129021,Collier County,FL,"$1,484,747"
129023,Columbia County,FL,"$151,591"
129027,Desoto County,FL,"$114,927"
129029,Dixie County,FL,"$28,507"
129031,Jacksonville-Duval Count,FL,"$4,039,855"
129033,Escambia County,FL,"$1,191,669"
129035,Flagler County,FL,"$33,138"
