Geo Code,Jurisdiction,State,FY 2015 PPRN
062286,Mission Viejo,CA,"$104,046"
062292,Modesto,CA,"$1,267,961"
062328,Montebello,CA,"$171,032"
062334,Monterey,CA,"$45,772"
062340,Monterey Park,CA,"$149,196"
062367,Moreno Valley,CA,"$1,326,223"
062382,Mountain View,CA,"$134,560"
062406,Napa City,CA,"$158,717"
062412,National City,CA,"$192,797"
062454,Newport Beach,CA,"$91,308"
062490,Norwalk,CA,"$288,382"
062508,Oakland,CA,"$4,910,537"
062532,Oceanside,CA,"$808,169"
062556,Ontario,CA,"$1,213,316"
062568,Orange,CA,"$287,729"
062622,Oxnard,CA,"$1,443,982"
062658,Palmdale,CA,"$341,308"
062670,Palm Desert,CA,"$69,751"
062676,Palm Springs,CA,"$81,700"
062682,Palo Alto,CA,"$108,025"
062700,Paradise,CA,"$43,217"
062706,Paramount City,CA,"$216,104"
062724,Pasadena,CA,"$1,208,492"
062754,Perris City,CA,"$214,533"
062760,Petaluma,CA,"$81,728"
062766,Pico Rivera,CA,"$162,629"
062790,Pittsburg,CA,"$147,512"
062826,Pleasanton City,CA,"$66,276"
062850,Pomona,CA,"$1,363,344"
062862,Porterville,CA,"$166,178"
062928,Rancho Cordova City,CA,"$140,430"
062930,Rancho Cucamonga,CA,"$199,802"
062949,Rancho Santa Margarita,CA,"$50,980"
062958,Redding,CA,"$181,096"
062964,Redlands,CA,"$107,791"
062970,Redondo Beach,CA,"$68,332"
062976,Redwood City,CA,"$172,339"
062988,Rialto,CA,"$273,378"
063000,Richmond,CA,"$271,890"
063048,Riverside,CA,"$2,006,564"
063054,Rocklin City,CA,"$52,625"
063102,Rosemead,CA,"$157,988"
063108,Roseville,CA,"$142,910"
063144,Sacramento,CA,"$2,874,028"
063162,Salinas,CA,"$1,342,972"
063180,San Bernardino,CA,"$2,121,734"
063198,San Clemente,CA,"$80,851"
063210,San Diego,CA,"$7,389,740"
063228,San Francisco,CA,"$11,192,223"
063258,San Jose,CA,"$5,480,333"
063276,San Leandro,CA,"$172,126"
063294,San Marcos City,CA,"$141,535"
063312,San Mateo,CA,"$170,245"
063342,Santa Ana,CA,"$3,742,631"
063348,Santa Barbara,CA,"$196,380"
063354,Santa Clara,CA,"$213,107"
063356,Santa Clarita,CA,"$283,282"
063360,Santa Cruz,CA,"$126,051"
063372,Santa Maria,CA,"$317,691"
063384,Santa Monica,CA,"$247,775"
063396,Santa Rosa,CA,"$326,894"
063408,Santee,CA,"$69,613"
063444,Seaside,CA,"$93,270"
063480,Simi Valley,CA,"$142,452"
063528,South Gate,CA,"$986,910"
