Geo Code,State,Name,FY 2017 PPRN,
061692,CA,Huntington Beach,"$274,940"
061698,CA,Huntington Park,"$939,760"
061728,CA,Indio City,"$237,204"
061740,CA,Inglewood,"$1,073,387"
061750,CA,Irvine,"$364,893"
061854,CA,Laguna Niguel,"$77,760"
061860,CA,La Habra,"$210,349"
061869,CA,Lake Forest,"$110,270"
061870,CA,Lake Elsinore,"$125,540"
061890,CA,Lakewood,"$146,194"
061896,CA,La Mesa,"$99,607"
061914,CA,Lancaster,"$356,883"
062034,CA,Livermore,"$101,329"
062046,CA,Lodi,"$169,646"
062064,CA,Lompoc,"$123,180"
062088,CA,Long Beach,"$4,111,016"
062118,CA,Los Angeles,"$37,478,418"
062148,CA,Lynwood,"$324,603"
062166,CA,Madera,"$230,683"
062240,CA,Menifee,"$133,314"
062250,CA,Merced,"$265,156"
062274,CA,Milpitas City,"$116,153"
062286,CA,Mission Viejo,"$110,723"
062292,CA,Modesto,"$1,409,893"
062328,CA,Montebello,"$174,538"
062334,CA,Monterey,"$59,559"
062340,CA,Monterey Park,"$163,747"
062367,CA,Moreno Valley,"$1,456,179"
062382,CA,Mountain View,"$134,518"
062406,CA,Napa City,"$170,338"
062412,CA,National City,"$222,077"
062454,CA,Newport Beach,"$99,403"
062490,CA,Norwalk,"$315,403"
062508,CA,Oakland,"$5,331,791"
062532,CA,Oceanside,"$912,948"
062556,CA,Ontario,"$1,319,155"
062568,CA,Orange,"$326,526"
062622,CA,Oxnard,"$1,658,387"
062658,CA,Palmdale,"$403,724"
062670,CA,Palm Desert,"$81,424"
062676,CA,Palm Springs,"$107,062"
062682,CA,Palo Alto,"$121,925"
062700,CA,Paradise,"$47,608"
062706,CA,Paramount City,"$223,011"
062724,CA,Pasadena,"$1,351,699"
062754,CA,Perris City,"$233,382"
062760,CA,Petaluma,"$95,111"
062766,CA,Pico Rivera,"$168,557"
062790,CA,Pittsburg,"$158,625"
062802,CA,Placentia,"$116,238"
062826,CA,Pleasanton City,"$75,350"
062850,CA,Pomona,"$1,493,333"
062862,CA,Porterville,"$175,292"
062928,CA,Rancho Cordova City,"$154,562"
062930,CA,Rancho Cucamonga,"$225,810"
062949,CA,Rancho Santa Margarita,"$54,469"
062958,CA,Redding,"$184,418"
062970,CA,Redondo Beach,"$69,779"
062976,CA,Redwood City,"$187,589"
062988,CA,Rialto,"$300,854"
063000,CA,Richmond,$0
063048,CA,Riverside,"$2,312,020"
063054,CA,Rocklin City,"$70,228"
063102,CA,Rosemead,"$174,357"
063108,CA,Roseville,"$162,210"
063144,CA,Sacramento,"$3,330,202"
063162,CA,Salinas,"$1,449,298"
063180,CA,San Bernardino,"$2,372,157"
063198,CA,San Clemente,"$95,353"
063210,CA,San Diego,"$8,210,187"
063228,CA,San Francisco,"$12,420,764"
063258,CA,San Jose,"$6,321,174"
063276,CA,San Leandro,"$179,677"
063294,CA,San Marcos City,"$155,774"
063312,CA,San Mateo,"$179,902"
063342,CA,Santa Ana,"$3,982,769"
063348,CA,Santa Barbara,"$230,551"
063354,CA,Santa Clara,"$248,063"
063356,CA,Santa Clarita,"$319,624"
063360,CA,Santa Cruz,"$133,747"
063372,CA,Santa Maria,"$369,657"
063384,CA,Santa Monica,"$283,986"
063396,CA,Santa Rosa,"$363,769"
063408,CA,Santee,"$69,583"
063444,CA,Seaside,"$100,387"
063480,CA,Simi Valley,"$155,789"
063528,CA,South Gate,"$1,050,164"
063564,CA,South San Francisco,"$118,076"
063624,CA,Stockton,"$2,368,598"
063660,CA,Sunnyvale,"$286,553"
063712,CA,Temecula,"$142,492"
063732,CA,Thousand Oaks,"$165,658"
063744,CA,Torrance,"$235,226"
063768,CA,Tulare,"$167,284"
063798,CA,Turlock,"$163,853"
063804,CA,Tustin,"$188,026"
063846,CA,Union City,"$128,502"
063852,CA,Upland,"$147,549"
063858,CA,Vacaville,"$121,466"
063876,CA,Vallejo,"$256,786"
063888,CA,San Buenaventura,"$191,375"
063900,CA,Victorville,"$321,818"
063918,CA,Visalia,"$308,607"
063924,CA,Vista,"$205,226"
063942,CA,Walnut Creek,"$68,528"
063966,CA,Watsonville,"$192,783"
064002,CA,West Covina,"$204,633"
064014,CA,Westminster,"$261,117"
064050,CA,West Sacramento,"$118,666"
064074,CA,Whittier,"$191,718"
064134,CA,Woodland,"$121,749"
064158,CA,Yorba Linda,"$54,100"
064176,CA,Yuba City,"$160,345"
069001,CA,Alameda County,"$1,260,810"
069003,CA,Alpine County,"$5,463"
069005,CA,Amador County,"$118,670"
069007,CA,Butte County,"$325,480"
069009,CA,Calaveras County,"$105,635"
069011,CA,Colusa County,"$69,729"
069013,CA,Contra Costa County,"$3,057,101"
069015,CA,Del Norte County,"$74,571"
069017,CA,El Dorado County,"$310,993"
069019,CA,Fresno County,"$2,336,521"
069021,CA,Glenn County,"$93,698"
069023,CA,Humboldt County,"$579,199"
069025,CA,Imperial County,"$434,901"
069027,CA,Inyo County,"$57,416"
069029,CA,Kern County,"$2,978,749"
069031,CA,Kings County,"$285,054"
069033,CA,Lake County,"$205,638"
069035,CA,Lassen County,"$104,416"
069037,CA,Los Angeles County,"$15,633,695"
069039,CA,Madera County,"$262,947"
069041,CA,Marin County,"$359,833"
069043,CA,Mariposa County,"$60,260"
069045,CA,Mendocino County,"$312,025"
069047,CA,Merced County,"$619,274"
069049,CA,Modoc County,"$53,708"
069051,CA,Mono County,"$42,597"
069053,CA,Monterey County,"$319,630"
069055,CA,Napa County,"$156,037"
069057,CA,Nevada County,"$265,949"
069059,CA,Orange County,"$1,802,695"
069061,CA,Placer County,"$340,531"
069063,CA,Plumas County,"$84,329"
069065,CA,Riverside County,"$5,482,994"
069067,CA,Sacramento County,"$3,841,503"
069069,CA,San Benito County,"$141,160"
069071,CA,San Bernardino County,"$4,904,715"
069073,CA,San Diego County,"$2,776,953"
069077,CA,San Joaquin County,"$1,783,235"
069079,CA,San Luis Obispo County,"$1,256,640"
069081,CA,San Mateo County,"$1,729,760"
069083,CA,Santa Barbara County,"$809,875"
069085,CA,Santa Clara County,"$1,041,671"
069087,CA,Santa Cruz County,"$424,695"
069089,CA,Shasta County,"$206,542"
069091,CA,Sierra County,"$25,376"
069093,CA,Siskiyou County,"$222,907"
069095,CA,Solano County,"$208,993"
069097,CA,Sonoma County,"$1,249,646"
069099,CA,Stanislaus County,"$1,635,864"
069101,CA,Sutter County,"$79,614"
069103,CA,Tehama County,"$184,121"
069105,CA,Trinity County,"$52,203"
069107,CA,Tulare County,"$969,421"
069109,CA,Tuolumne County,"$155,741"
069111,CA,Ventura County,"$1,176,282"
069113,CA,Yolo County,"$93,847"
069115,CA,Yuba County,"$248,661"
080054,CO,Arvada,"$125,166"
080072,CO,Aurora,"$2,052,883"
080144,CO,Boulder,"$199,645"
080180,CO,Broomfield City/County,"$67,358"
080238,CO,Centennial,"$88,969"
080288,CO,Colorado Springs,"$1,994,336"
080300,CO,Commerce City,"$106,752"
080390,CO,Denver,"$4,920,644"
080552,CO,Fort Collins,"$262,468"
080672,CO,Grand Junction,"$106,302"
080690,CO,Greeley,"$236,929"
080906,CO,Lakewood,"$235,893"
080978,CO,Longmont,"$166,883"
080990,CO,Loveland,"$92,861"
081278,CO,Pueblo,"$369,686"
081524,CO,Thornton,"$175,042"
081614,CO,Westminster,"$160,254"
089001,CO,Adams County,"$864,451"
089003,CO,Alamosa County,"$41,099"
089005,CO,Arapahoe County,"$289,695"
089007,CO,Archuleta County,"$17,469"
089009,CO,Baca County,"$10,622"
089011,CO,Bent County,"$14,420"
089013,CO,Boulder County,"$123,113"
089015,CO,Chaffee County,"$33,631"
089017,CO,Cheyenne County,"$5,118"
089019,CO,Clear Creek County,"$23,597"
089021,CO,Conejos County,"$22,291"
089023,CO,Costilla County,"$11,494"
089025,CO,Crowley County,"$15,406"
089027,CO,Custer County,"$10,036"
089029,CO,Delta County,"$69,991"
089033,CO,Dolores County,"$4,173"
089035,CO,Douglas County,"$187,337"
089037,CO,Eagle County,"$89,794"
089039,CO,Elbert County,"$27,646"
089041,CO,El Paso County,"$259,459"
089043,CO,Fremont County,"$87,471"
089045,CO,Garfield County,"$110,974"
089047,CO,Gilpin County,"$11,899"
089049,CO,Grand County,"$30,011"
089051,CO,Gunnison County,"$32,571"
089053,CO,Hinsdale County,"$3,186"
089055,CO,Huerfano County,"$27,127"
089057,CO,Jackson County,"$4,918"
089059,CO,Jefferson County,"$249,130"
089061,CO,Kiowa County,"$4,454"
089063,CO,Kit Carson County,"$17,107"
089065,CO,Lake County,"$26,228"
089067,CO,La Plata County,"$75,935"
089069,CO,Larimer County,"$123,703"
089071,CO,Las Animas County,"$57,058"
089073,CO,Lincoln County,"$11,730"
089075,CO,Logan County,"$51,655"
089077,CO,Mesa County,"$146,851"
089079,CO,Mineral County,"$3,493"
089081,CO,Moffat County,"$19,919"
089083,CO,Montezuma County,"$58,921"
089085,CO,Montrose County,"$79,146"
089087,CO,Morgan County,"$68,432"
089089,CO,Otero County,"$63,789"
089091,CO,Ouray County,"$8,728"
089093,CO,Park County,"$23,060"
